taxonBat	dietOmnivorous	dietProtein	log_mass	int_length_mass	log_total_enterocytes	nsa_mass	sef	vill_area_mass
0	1	0	3.4676788356225927	10.998212519493551	20.105048212051887	2.0224505512719837	10.619749981708273	20.254991458219934
1	0	0	4.238070309447957	8.805098016785278	20.660122270368962	1.181053754498048	17.182142396272535	20.023560352828763
1	0	0	2.85199308880006	2.7553169225877068	19.895622880056706	0.7795059163450807	17.57634370616676	13.496559825278851
0	1	0	4.274825863354786	6.606865110905976	20.370679873319265	1.177568651961468	7.7100834786714305	8.371904257137555
1	0	1	3.645569207479062	4.29808600566188	19.790861057752466	0.6859163452340875	12.380643829033675	8.102491685855487
1	0	1	2.7283848506207966	4.0269456594461825	19.234972326773093	0.9469174185736531	11.270882669766241	9.977593178450633
1	0	1	3.5304697173662944	2.6309848589687594	19.783754784216242	0.5887987008369117	16.930749858313806	9.735917245651464
0	0	1	5.055780692097801	4.007212944047315	20.785658824608372	0.8895893431699208	11.794694336479726	9.900845671379725
0	0	0	3.7534121070132613	5.4667724452046045	19.724606723877073	1.0233507545036007	12.218692173563877	12.466868975890357
1	0	1	2.5920765436283633	3.598150610254979	19.39621099298283	0.8258008539896402	12.569044205860937	9.841442175466172
1	0	1	3.5139306516493947	4.144330937770851	20.314032026126203	0.7925279665734278	15.73376960323164	11.988389787353803
0	1	0	3.6104363630737035	11.201306319422095	21.091874576809694	1.8778519216116758	9.931199419953963	17.966748357035453
1	0	1	2.1873005245583292	5.875709860833264	18.556634167289413	1.3061384030813112	9.609226979858219	11.822765171144354
0	0	0	3.5694663560360747	4.878963359507489	18.962526356840684	0.848687579229294	10.315152557493814	4.571317617976225
0	0	1	3.2454073606320524	6.453146840856608	18.94642148260159	1.365541006426904	8.809965982480062	11.038474156783966
0	0	0	4.629240162402014	7.438091281632685	20.715623700734284	1.2481918462405657	8.797123031172038	10.185807921588026
1	0	1	2.633478595930323	5.83402686905339	20.47348593088518	1.1056900307472688	18.78514708220264	20.49779409239466
0	1	0	3.2321089474717444	10.643073925829654	19.791889564703528	1.6894902081576184	6.914366817011099	12.256660848601262
